scenario,return_period,uniform_mean_travel_time_min,weighted_mean_travel_time_min,uniform_mean_delay_min,weighted_mean_delay_min,uniform_coverage_5,weighted_coverage_5,uniform_coverage_10,weighted_coverage_10,uniform_coverage_15,weighted_coverage_15,uniform_isolated_share,weighted_isolated_share
RP10,10,2.3921684665528735,2.3138161908971804,0.030591873536123023,0.03981887798602092,0.9743853777834985,0.9759495171778726,0.9897026644355773,0.9892658643731012,0.9897026644355773,0.9892658643731012,0.010297335564422706,0.010734135626898737
RP100,100,2.4034646074354944,2.3276975715927146,0.04157760228002187,0.05346590760277446,0.9734843609216115,0.9749886947107971,0.9891877976573562,0.9886956230372826,0.9891877976573562,0.9886956230372826,0.01081220234264384,0.011304376962717324
RP20,20,2.394628110276701,2.3168404594585548,0.03305151725995079,0.04284314654739527,0.9743853777834985,0.9759495171778726,0.9897026644355773,0.9892658643731012,0.9897026644355773,0.9892658643731012,0.010297335564422706,0.010734135626898737
RP30,30,2.3960029144852784,2.3185242217076047,0.03442632146852755,0.044526908796445296,0.9743853777834985,0.9759495171778726,0.9897026644355773,0.9892658643731012,0.9897026644355773,0.9892658643731012,0.010297335564422706,0.010734135626898737
RP50,50,2.3976842708718245,2.3205924494695203,0.0361076778550739,0.04659513655836053,0.974127944394388,0.9755595132897195,0.9897026644355773,0.9892658643731012,0.9897026644355773,0.9892658643731012,0.010297335564422706,0.010734135626898737
