서ㆍ센터ID,서ㆍ센터명,유형구분명,assigned_demand_weight,mean_distance_m,demand_point_count
1120104,잠실119안전센터,안전센터/구조대,227155.3068158356,1104.90385455645,112
1120106,가락119안전센터,안전센터/구조대,213006.23812448356,1077.357643324053,102
1115102,방배119안전센터,안전센터/구조대,177223.1768912316,1263.4049064439275,154
1105107,중곡119안전센터,안전센터/구조대,136743.1395328161,1022.630314907445,76
1102104,백운119안전센터,안전센터/구조대,136222.30065901048,887.9645598051095,84
1115105,잠원119안전센터,안전센터/구조대,134559.94207339978,967.3556406944789,86
1114105,수서119안전센터,안전센터/구조대,124540.66705097673,1163.078879020083,105
1103106,신영119안전센터,안전센터/구조대,122816.80310512535,1849.9386097930783,80
1122103,망우119안전센터,안전센터/구조대,121576.75858717607,1055.5373094788877,105
1103104,신교119안전센터,안전센터/구조대,116912.94917851346,1036.6274764716766,97
1122102,면목119안전센터,안전센터/구조대,116224.28530711986,891.7977034696484,61
1126305,반포수난구조대,안전센터/구조대,109160.42977227716,865.9626606683923,71
1118105,길동119안전센터,안전센터/구조대,108078.74699202503,868.4171046299455,66
1113106,성산119안전센터,안전센터/구조대,104110.19340397451,937.0926116590982,83
1104106,신당119안전센터,안전센터/구조대,103862.1268221885,813.864429208816,57
1106105,서빙고119안전센터,안전센터/구조대,103606.62459939251,901.2273892136072,76
1126306,여의도수난구조대,안전센터/구조대,103573.30249268744,753.2361210384124,61
1113104,서교119안전센터,안전센터/구조대,103335.10729799984,875.6433225839239,71
1118103,고덕119안전센터,안전센터/구조대,102036.01342565159,955.8213152538505,88
1107103,전농119안전센터,안전센터/구조대,101780.65110765229,688.2805111793194,45
1127302,왕십리119안전센터,안전센터/구조대,97565.3414506061,649.3594982492194,39
1115106,우면119안전센터,안전센터/구조대,95477.70084203401,1131.568216553202,87
1125104,삼각산119안전센터,안전센터/구조대,94615.86580900327,1723.0327863637965,85
1114107,세곡119안전센터,안전센터/구조대,93790.23872016938,1364.5268439297515,135
1114103,영동119안전센터,안전센터/구조대,93291.51326099983,1132.267502602407,108
1122104,중화119안전센터,안전센터/구조대,91310.44022192275,800.6254423996687,67
1102102,노량진119안전센터,안전센터/구조대,88454.15782987216,835.5745466401298,71
1111106,공릉119안전센터,안전센터/구조대,86036.02051034363,797.0209725769586,58
1114106,개포119안전센터,안전센터/구조대,85794.15560034,1195.694594214866,99
1127303,금호119안전센터,안전센터/구조대,85559.9677165813,848.4560835592096,48
1106102,이촌119안전센터,안전센터/구조대,85438.384368668,777.0727096691277,59
1122101,신내119안전센터,안전센터/구조대,81773.09154379004,1387.3256458234343,73
1114104,역삼119안전센터,안전센터/구조대,81006.38244824788,994.3854507800324,87
1126307,광나루수난구조대,안전센터/구조대,78780.04343629353,1020.1334274875705,80
1111201,구조대,안전센터/구조대,76463.69738916981,1567.109685154244,55
1120401,마천119안전센터,안전센터/구조대,76021.76401878688,1211.2531674399775,53
1108103,당산119안전센터,안전센터/구조대,75204.63078947413,710.8452915771193,52
1106101,한강로119안전센터,안전센터/구조대,71457.32802821108,861.896197856422,37
1118104,암사119안전센터,안전센터/구조대,70048.07191298869,908.5051676657857,64
1108102,여의도119안전센터,안전센터/구조대,69946.73925856584,737.5388207707394,49
1120103,방이119안전센터,안전센터/구조대,68943.84675099717,937.8777002636245,58
1109102,돈암119안전센터,안전센터/구조대,66123.53515671108,1010.6808471347059,57
1115104,서초119안전센터,안전센터/구조대,65928.93466617545,683.5674345958765,42
1115402,구조대,안전센터/구조대,65291.32692921315,821.124765532223,39
1122201,구조대,안전센터/구조대,64734.85867137637,1344.5339122858848,46
1116402,구조대,안전센터/구조대,63424.73348554232,1101.2871070730382,48
1118101,성내119안전센터,안전센터/구조대,60547.33845254074,1236.3687247471594,52
1111102,상계119안전센터,안전센터/구조대,60537.44145305188,1326.412717505435,97
1113107,상암119안전센터,안전센터/구조대,55816.518677843385,956.1035369569299,61
1107105,휘경119안전센터,안전센터/구조대,54653.83810375955,820.8269198828838,61
1120105,종합운동장119안전센터,안전센터/구조대,54165.155978859795,965.2738868591874,46
1120102,거여119안전센터,안전센터/구조대,53985.454948688646,1039.6886746493615,68
1116401,관악119안전센터,안전센터/구조대,52598.438065351584,821.5981667947411,31
1118102,천호119안전센터,안전센터/구조대,51865.33698660602,570.499090819964,32
1125102,우이119안전센터,안전센터/구조대,50228.849533327535,1808.1786763089283,89
1114402,구조대,안전센터/구조대,49727.86875972934,1098.4008840191245,51
1108104,대림119안전센터,안전센터/구조대,49572.532130122214,721.6247848768878,50
1105103,능동119안전센터,안전센터/구조대,49069.78748583284,632.145521410782,37
1113103,염리119안전센터,안전센터/구조대,48611.29529267812,661.9164916248876,43
1105402,구조대,안전센터/구조대,47508.05101682988,1200.3308486096862,58
1106103,이태원119안전센터,안전센터/구조대,47103.21259319897,996.4340661325458,58
1100106,회현119안전센터,안전센터/구조대,46938.87399817975,751.1527877016106,33
1113102,신수119안전센터,안전센터/구조대,46674.04657500495,797.280668701088,34
1115401,반포119안전센터,안전센터/구조대,46626.809663243665,841.4640156948249,31
1109103,길음119안전센터,안전센터/구조대,45756.7352684194,1006.0017472179434,48
1100213,관악산산악구조대,안전센터/구조대,44723.56806744904,1707.9035525741529,44
1116102,봉천119안전센터,안전센터/구조대,40831.567036869215,660.3766853713441,34
