scenario,return_period,corr_dchoice_weighted_delay,corr_dintegration_weighted_delay,corr_sfrc_weighted_delay
RP10,10,0.10957577391855192,0.12893456208511256,0.08614678761586277
RP100,100,0.10868610060103294,0.12766695002511896,0.08562095258231478
RP20,20,0.10957573935609982,0.1289330207535159,0.08607774387063268
RP30,30,0.10957253655272821,0.1289299369873036,0.08598748040637395
RP50,50,0.10957853483132377,0.12893008043749465,0.08593806442213663
