scenario,return_period,coverage_5_gap_pctp,weighted_minus_uniform_delay_min,high_weight_delay_min,low_weight_delay_min
RP10,10,0.15641393943740534,0.009227004449897897,0.04210573362750801,0.015344195400742453
RP100,100,0.15043337891855746,0.01188830532275259,0.056925127466899594,0.02228881919866442
RP20,20,0.15641393943740534,0.009791629287444474,0.04529210008047679,0.016670303344463427
RP30,30,0.15641393943740534,0.010100587327917743,0.04708807912639099,0.017431497293458918
RP50,50,0.14315688953314698,0.010487458703286628,0.04929944039426752,0.018368457378206703
